trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
822,1,1254.1000000238419,50,39750,15,3.542,0.15,3.195,0,0,1
823,1,1433.6000000238419,50,39800,15,3.994,0.15,4.479,0,0,1
824,1,1176.8999999761581,0,39800,25,3.433,0.25,4.902,0,0,1
825,1,2198.100000023842,100,39900,5,6.236,0.05,7.436,0,0,1
826,1,1646.6000000238419,0,39900,15,4.451,0.15,6.262,0,0,1
827,1,1406.2000000476837,100,40000,15,3.532,0.15,3.17,0,0,1
828,1,2795.600000023842,100,40100,5,5.997,0.05,6.285,0,0,1
829,1,2002.7000000476837,50,40150,5,6.336,0.05,7.979,0,0,1
830,1,1444.6999999284744,0,40150,25,3.215,0.25,4.144,0,0,1
831,1,1600.3000000715256,100,40250,15,3.977,0.15,4.425,0,0,1
832,1,2057,50,40300,5,5.472,0.05,4.337,0,0,1
833,1,1317.6999999284744,0,40300,15,4.192,0.15,5.183,0,0,1
834,1,1310.5,0,40300,15,4.391,0.15,5.995,0,0,1
835,1,1519.7999999523163,50,40350,15,4.653,0.15,7.25,0,0,1
836,1,1624.0999999046326,100,40450,5,5.426,0.05,4.198,0,0,1
837,1,1556.1000000238419,50,40500,15,4.299,0.15,5.605,0,0,1
838,1,1273.6000000238419,100,40600,25,2.83,0.25,3.056,0,0,1
839,1,1439,100,40700,15,4.1,0.15,4.845,0,0,1
840,1,1079.2000000476837,100,40800,25,2.642,0.25,2.621,0,0,1
841,1,1449.0999999046326,0,40800,15,4.303,0.15,5.622,0,0,1
842,1,1437.3999999761581,100,40900,15,3.94,0.15,4.306,0,0,1
843,1,913.7999999523163,50,40950,25,2.174,0.25,1.756,0,0,1
844,1,1679.1000000238419,50,41000,15,4.479,0.15,6.391,0,0,1
845,1,1231.8999999761581,100,41100,25,2.892,0.25,3.213,0,0,1
846,1,1124.2999999523163,0,41100,25,2.568,0.25,2.464,0,0,1
847,1,1473.6000000238419,0,41100,15,4.27,0.15,5.487,0,0,1
848,1,2101.3000000715256,50,41150,5,6.221,0.05,7.357,0,0,1
849,1,1732.5999999046326,100,41250,5,6.345,0.05,8.028,0,0,1
850,1,1937,50,41300,5,5.846,0.05,5.653,0,0,1
851,1,1488.3000000715256,50,41350,15,4.959,0.15,9.032,0,0,1
852,1,1272.6000000238419,100,41450,25,2.635,0.25,2.606,0,0,1
853,1,1644.5,100,41550,15,4.695,0.15,7.472,0,0,1
854,1,1584.2999999523163,100,41650,15,3.702,0.15,3.605,0,0,1
855,1,1674.8999999761581,100,41750,15,4.069,0.15,4.734,0,0,1
856,1,1416.8999999761581,100,41850,15,3.703,0.15,3.608,0,0,1
857,1,1260.8000000715256,0,41850,25,2.845,0.25,3.091,0,0,1
