trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
159,1,1072,0,6900,16,3.679,0.15,3.542,0,0,1
160,1,1536,100,7000,16,4.695,0.15,7.469,0,0,1
161,0,3016,0,7000,5,6.13,0.05,6.905,1,0,1
161,1,3006,0,7000,5,6.13,0.05,6.905,0,0,1
162,1,2289,50,7050,5,5.023,0.05,3.151,0,0,1
163,1,1376,50,7100,16,4.146,0.15,5.01,0,0,1
164,1,1638,50,7150,5,5.732,0.05,5.214,0,0,1
165,1,1512,0,7150,5,5.58,0.05,4.683,0,0,1
166,1,1683,50,7200,5,5.335,0.05,3.936,0,0,1
167,1,2142,50,7250,5,5.183,0.05,3.533,0,0,1
168,1,1469,100,7350,5,5.568,0.05,4.645,0,0,1
169,1,1088,50,7400,16,3.866,0.15,4.075,0,0,1
170,1,2960,100,7500,5,5.287,0.05,3.805,0,0,1
171,1,1256,50,7550,16,4.304,0.15,5.628,0,0,1
172,1,1424,50,7600,16,4.292,0.15,5.577,0,0,1
173,1,1745,100,7700,5,5.852,0.05,5.677,0,0,1
174,1,1163,100,7800,16,3.511,0.15,3.12,0,0,1
175,1,1552,0,7800,5,6.189,0.05,7.196,0,0,1
176,1,1558,50,7850,5,6.429,0.05,8.517,0,0,1
177,0,1859,100,7850,5,6.137,0.05,6.937,0,0,1
178,1,2067,0,7850,5,5.915,0.05,5.935,0,0,1
179,1,2288,50,7900,5,5.658,0.05,4.949,0,0,1
180,0,3009,50,7900,5,5.437,0.05,4.232,1,0,1
180,1,2047,50,7950,5,5.437,0.05,4.232,0,0,1
181,0,3002,0,7950,5,6.026,0.05,6.418,1,0,1
181,1,2205,0,7950,5,6.026,0.05,6.418,0,0,1
182,1,2056,0,7950,5,5.289,0.05,3.81,0,0,1
183,1,1416,0,7950,16,4.695,0.15,7.473,0,0,1
184,1,1673,100,8050,5,5.317,0.05,3.886,0,0,1
185,1,1759,0,8050,5,5.025,0.05,3.155,0,0,1
186,1,1968,0,8050,5,5.792,0.05,5.441,0,0,1
187,1,1520,100,8150,5,5.223,0.05,3.636,0,0,1
188,1,1807,100,8250,5,6.149,0.05,6.998,0,0,1
189,1,1266,50,8300,16,4.387,0.15,5.978,0,0,1
190,1,2279,100,8400,5,6.038,0.05,6.471,0,0,1
191,1,1870,100,8500,5,5.831,0.05,5.594,0,0,1
192,1,2288,0,8500,5,5.613,0.05,4.793,0,0,1
193,1,2583,0,8500,5,6.258,0.05,7.553,0,0,1
194,1,1887,0,8500,5,5.258,0.05,3.728,0,0,1
195,1,2625,50,8550,5,6.1,0.05,6.758,0,0,1
196,1,1518,50,8600,5,5.048,0.05,3.209,0,0,1
197,1,2465,100,8700,5,5.49,0.05,4.394,0,0,1
198,1,1209,50,8750,16,3.69,0.15,3.573,0,0,1
199,1,1473,50,8800,5,5.235,0.05,3.665,0,0,1
200,1,1663,0,8800,5,5.385,0.05,4.077,0,0,1
201,1,1895,100,8900,5,5.219,0.05,3.624,0,0,1
202,1,2232,50,8950,5,6.139,0.05,6.948,0,0,1
203,1,1711,0,8950,5,5.442,0.05,4.248,0,0,1
204,1,2536,50,9000,5,6.018,0.05,6.38,0,0,1
205,1,1489,0,9000,5,5.488,0.05,4.387,0,0,1
206,0,1520,50,9000,5,5.909,0.05,5.909,0,0,1
207,1,1831,0,9000,5,6.462,0.05,8.715,0,0,1
208,0,3005,50,9000,5,5.179,0.05,3.524,1,0,1
208,1,2075,50,9050,5,5.179,0.05,3.524,0,0,1
209,1,2080,0,9050,5,5.126,0.05,3.393,0,0,1
210,1,2185,50,9100,5,6.27,0.05,7.62,0,0,1
211,1,1777,0,9100,16,4.857,0.15,8.396,0,0,1
212,1,1953,0,9100,5,5.767,0.05,5.345,0,0,1
213,1,1677,50,9150,5,5.859,0.05,5.705,0,0,1
214,1,1679,100,9250,5,5.682,0.05,5.034,0,0,1
215,1,2249,0,9250,5,5.181,0.05,3.528,0,0,1
216,1,1864,100,9350,5,6.317,0.05,7.873,0,0,1
217,1,1351,100,9450,5,6.372,0.05,8.183,0,0,1
218,1,1746,0,9450,5,5.17,0.05,3.501,0,0,1
219,1,2086,50,9500,5,5.674,0.05,5.006,0,0,1
220,1,1864,0,9500,5,5.167,0.05,3.492,0,0,1
221,0,3013,0,9500,5,5.593,0.05,4.728,1,0,1
221,1,2041,0,9500,5,5.593,0.05,4.728,0,0,1
222,1,1811,0,9500,5,6.295,0.05,7.753,0,0,1
223,1,2534,0,9500,5,6.277,0.05,7.654,0,0,1
224,1,2255,50,9550,5,5.878,0.05,5.779,0,0,1
225,1,1605,0,9550,16,4.801,0.15,8.062,0,0,1
226,1,1914,100,9650,5,5.378,0.05,4.06,0,0,1
227,1,2224,0,9650,5,5.718,0.05,5.165,0,0,1
228,1,1329,0,9650,16,3.879,0.15,4.114,0,0,1
229,1,928,50,9700,16,4.394,0.15,6.006,0,0,1
230,1,1647,0,9700,5,5.898,0.05,5.864,0,0,1
231,1,1569,0,9700,5,5.222,0.05,3.632,0,0,1
232,1,1792,100,9800,5,6.161,0.05,7.055,0,0,1
233,1,1863,50,9850,5,6.122,0.05,6.866,0,0,1
234,1,1920,0,9850,5,6.487,0.05,8.867,0,0,1
235,1,1343,0,9850,16,3.729,0.15,3.678,0,0,1
236,1,1744,50,9900,5,5.76,0.05,5.32,0,0,1
237,1,1313,100,10000,16,3.86,0.15,4.055,0,0,1
238,1,2095,50,10050,5,5.574,0.05,4.665,0,0,1
239,1,2175,50,10100,5,5.308,0.05,3.863,0,0,1
240,1,1353,50,10150,16,4.104,0.15,4.858,0,0,1
241,1,1698,50,10200,5,5.246,0.05,3.694,0,0,1
242,1,1847,50,10250,5,5.47,0.05,4.333,0,0,1
243,0,1969,0,10250,5,6.307,0.05,7.818,0,0,1
244,1,1917,100,10350,5,5.586,0.05,4.704,0,0,1
245,1,1624,100,10450,5,5.983,0.05,6.224,0,0,1
246,1,1950,100,10550,5,6.476,0.05,8.802,0,0,1
247,1,1762,0,10550,16,3.975,0.15,4.419,0,0,1
248,1,2119,50,10600,5,6.324,0.05,7.911,0,0,1
249,1,1231,0,10600,16,3.543,0.15,3.197,0,0,1
250,0,2038,0,10600,5,5.69,0.05,5.061,0,0,1
251,1,1737,50,10650,5,5.087,0.05,3.298,0,0,1
252,1,1520,0,10650,5,5.57,0.05,4.65,0,0,1
253,1,1466,50,10700,5,5.328,0.05,3.916,0,0,1
254,1,1341,50,10750,16,4.717,0.15,7.593,0,0,1
255,1,1696,50,10800,5,5.811,0.05,5.513,0,0,1
256,0,1663,100,10800,5,5.773,0.05,5.369,0,0,1
257,1,1344,0,10800,16,4.124,0.15,4.93,0,0,1
258,1,1671,100,10900,16,4.698,0.15,7.489,0,0,1
259,1,2168,100,11000,5,6.335,0.05,7.972,0,0,1
260,1,1448,50,11050,16,4.298,0.15,5.603,0,0,1
261,0,3013,50,11050,5,5.318,0.05,3.889,1,0,1
261,1,2220,50,11100,5,5.318,0.05,3.889,0,0,1
262,1,2620,100,11200,5,5.91,0.05,5.912,0,0,1
263,1,1855,100,11300,5,6.425,0.05,8.494,0,0,1
264,1,1761,50,11350,5,5.708,0.05,5.127,0,0,1
265,1,1879,50,11400,5,6.368,0.05,8.162,0,0,1
266,1,1066,100,11500,16,4.481,0.15,6.401,0,0,1
267,1,1558,0,11500,5,5.302,0.05,3.844,0,0,1
268,1,1593,0,11500,5,5.16,0.05,3.475,0,0,1
269,1,1832,100,11600,5,6.348,0.05,8.045,0,0,1
270,1,1863,100,11700,5,5.427,0.05,4.201,0,0,1
271,1,1544,0,11700,5,5.856,0.05,5.692,0,0,1
272,1,1593,0,11700,16,4.893,0.15,8.615,0,0,1
273,1,1940,0,11700,5,6.054,0.05,6.543,0,0,1
274,0,1465,0,11700,5,5.609,0.05,4.78,0,0,1
275,1,2080,100,11800,5,5.294,0.05,3.822,0,0,1
276,1,2240,0,11800,5,5.002,0.05,3.104,0,0,1
277,1,1951,0,11800,5,6.306,0.05,7.812,0,0,1
278,1,2074,50,11850,5,6.116,0.05,6.836,0,0,1
279,1,2349,100,11950,5,5.265,0.05,3.745,0,0,1
280,1,968,0,11950,16,3.935,0.15,4.287,0,0,1
281,1,1992,50,12000,5,6.451,0.05,8.648,0,0,1
282,1,1928,50,12050,5,6.206,0.05,7.282,0,0,1
283,1,1767,100,12150,16,4.94,0.15,8.906,0,0,1
284,1,2144,100,12250,5,6.193,0.05,7.216,0,0,1
285,1,1325,0,12250,16,3.974,0.15,4.416,0,0,1
286,1,1712,0,12250,5,5.393,0.05,4.101,0,0,1
287,1,2227,50,12300,5,5.678,0.05,5.021,0,0,1
288,1,2125,100,12400,5,6.109,0.05,6.803,0,0,1
289,0,2216,50,12400,5,5.524,0.05,4.502,0,0,1
290,1,1673,50,12450,5,6.178,0.05,7.141,0,0,1
291,1,2055,0,12450,5,5.448,0.05,4.264,0,0,1
292,1,2489,100,12550,5,5.549,0.05,4.581,0,0,1
293,1,1837,50,12600,5,5.912,0.05,5.921,0,0,1
294,0,3003,100,12600,5,6.248,0.05,7.501,1,0,1
294,1,2152,100,12700,5,6.248,0.05,7.501,0,0,1
295,1,1600,100,12800,5,5.056,0.05,3.226,0,0,1
296,1,1662,50,12850,5,5.726,0.05,5.193,0,0,1
297,1,1755,0,12850,5,5.729,0.05,5.203,0,0,1
